,paths,label
0,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0365.JPG,Bacterial leaf blight
1,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0366.jpg,Bacterial leaf blight
2,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0367.JPG,Bacterial leaf blight
3,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0370.jpg,Bacterial leaf blight
4,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0372.JPG,Bacterial leaf blight
5,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0373.JPG,Bacterial leaf blight
6,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0374.JPG,Bacterial leaf blight
7,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0375.JPG,Bacterial leaf blight
8,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0376.JPG,Bacterial leaf blight
9,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0377.JPG,Bacterial leaf blight
10,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0378.JPG,Bacterial leaf blight
11,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0379.JPG,Bacterial leaf blight
12,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0380.JPG,Bacterial leaf blight
13,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0381.JPG,Bacterial leaf blight
14,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0382.JPG,Bacterial leaf blight
15,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0383.JPG,Bacterial leaf blight
16,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0384.JPG,Bacterial leaf blight
17,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0385.jpg,Bacterial leaf blight
18,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0386.JPG,Bacterial leaf blight
19,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0388.JPG,Bacterial leaf blight
20,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0389.JPG,Bacterial leaf blight
21,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0390.JPG,Bacterial leaf blight
22,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0392.JPG,Bacterial leaf blight
23,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0393.JPG,Bacterial leaf blight
24,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0395.JPG,Bacterial leaf blight
25,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0396.JPG,Bacterial leaf blight
26,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0397.JPG,Bacterial leaf blight
27,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0398.JPG,Bacterial leaf blight
28,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0399.JPG,Bacterial leaf blight
29,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0400.JPG,Bacterial leaf blight
30,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0401.JPG,Bacterial leaf blight
31,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0402.JPG,Bacterial leaf blight
32,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0403.JPG,Bacterial leaf blight
33,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0404.JPG,Bacterial leaf blight
34,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0405.JPG,Bacterial leaf blight
35,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0406.JPG,Bacterial leaf blight
36,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0700.jpg,Bacterial leaf blight
37,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0701.jpg,Bacterial leaf blight
38,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0702.jpg,Bacterial leaf blight
39,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial leaf blight\DSC_0703.JPG,Bacterial leaf blight
40,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0100.jpg,Brown spot
41,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0101.jpg,Brown spot
42,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0104.jpg,Brown spot
43,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0105.jpg,Brown spot
44,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0106.jpg,Brown spot
45,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0107.jpg,Brown spot
46,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0108.jpg,Brown spot
47,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0109.jpg,Brown spot
48,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0110.jpg,Brown spot
49,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0111.jpg,Brown spot
50,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0112.jpg,Brown spot
51,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0113.jpg,Brown spot
52,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0114.jpg,Brown spot
53,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0115.jpg,Brown spot
54,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0116.jpg,Brown spot
55,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0117.jpg,Brown spot
56,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0118.jpg,Brown spot
57,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0119.jpg,Brown spot
58,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0121.jpg,Brown spot
59,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0292.JPG,Brown spot
60,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0295.JPG,Brown spot
61,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0296.jpg,Brown spot
62,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0299.JPG,Brown spot
63,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0300.JPG,Brown spot
64,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0301.JPG,Brown spot
65,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0302.JPG,Brown spot
66,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0303.JPG,Brown spot
67,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0304.JPG,Brown spot
68,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0305.JPG,Brown spot
69,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0306.JPG,Brown spot
70,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0307.JPG,Brown spot
71,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0323.JPG,Brown spot
72,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0324.JPG,Brown spot
73,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0325.JPG,Brown spot
74,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0329.jpg,Brown spot
75,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0332.JPG,Brown spot
76,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0333.JPG,Brown spot
77,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0337.JPG,Brown spot
78,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0391.jpg,Brown spot
79,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Brown spot\DSC_0394.jpg,Brown spot
80,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0293.JPG,Leaf smut
81,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0308.JPG,Leaf smut
82,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0309.JPG,Leaf smut
83,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0310.JPG,Leaf smut
84,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0312.JPG,Leaf smut
85,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0313.JPG,Leaf smut
86,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0314.JPG,Leaf smut
87,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0315.jpg,Leaf smut
88,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0316.JPG,Leaf smut
89,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0317.JPG,Leaf smut
90,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0318.JPG,Leaf smut
91,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0319.jpg,Leaf smut
92,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0320.JPG,Leaf smut
93,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0321.JPG,Leaf smut
94,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0322.jpg,Leaf smut
95,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0327.JPG,Leaf smut
96,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0328.jpg,Leaf smut
97,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0330.jpg,Leaf smut
98,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0331.JPG,Leaf smut
99,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0335.JPG,Leaf smut
100,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0336.jpg,Leaf smut
101,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0338.JPG,Leaf smut
102,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0339.jpg,Leaf smut
103,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0500.jpg,Leaf smut
104,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0501.jpg,Leaf smut
105,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0502.jpg,Leaf smut
106,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0503.jpg,Leaf smut
107,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0504.jpg,Leaf smut
108,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0505.jpg,Leaf smut
109,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0506.jpg,Leaf smut
110,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0507.jpg,Leaf smut
111,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0508.jpg,Leaf smut
112,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0509.jpg,Leaf smut
113,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0510.jpg,Leaf smut
114,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0511.jpg,Leaf smut
115,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0512.jpg,Leaf smut
116,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0513.jpg,Leaf smut
117,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0514.jpg,Leaf smut
118,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0515.jpg,Leaf smut
119,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Leaf smut\DSC_0516.jpg,Leaf smut
