,Image,Label
0,0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,Apple_scab
1,0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple_scab
2,0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,Apple_scab
3,0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple_scab
4,0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,Apple_scab
5,0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple_scab
6,0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG,Apple_scab
7,0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple_scab
8,10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,Apple_scab
9,106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,Apple_scab
10,11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,Apple_scab
11,11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,Apple_scab
12,12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,Apple_scab
13,133c27cd-57f6-4790-b446-972327e13194___FREC_Scab 3362.JPG,Apple_scab
14,13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990.JPG,Apple_scab
15,13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple_scab
16,13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,Apple_scab
17,14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple_scab
18,1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,Apple_scab
19,154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,Apple_scab
20,15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,Apple_scab
21,162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,Apple_scab
22,1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,Apple_scab
23,176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,Apple_scab
24,18ab74ed-8e95-4787-b2e1-1283594bd00b___FREC_Scab 3012.JPG,Apple_scab
