,paths,label
0,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0366.pgm,Bacterial Leaf blight 
1,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0367.pgm,Bacterial Leaf blight 
2,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0370.pgm,Bacterial Leaf blight 
3,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0372.pgm,Bacterial Leaf blight 
4,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0373.pgm,Bacterial Leaf blight 
5,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0374.pgm,Bacterial Leaf blight 
6,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0375.pgm,Bacterial Leaf blight 
7,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0376.pgm,Bacterial Leaf blight 
8,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0377.pgm,Bacterial Leaf blight 
9,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0378.pgm,Bacterial Leaf blight 
10,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0379.pgm,Bacterial Leaf blight 
11,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0381.pgm,Bacterial Leaf blight 
12,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0382.pgm,Bacterial Leaf blight 
13,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0383.pgm,Bacterial Leaf blight 
14,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0384.pgm,Bacterial Leaf blight 
15,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0385.pgm,Bacterial Leaf blight 
16,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0386.pgm,Bacterial Leaf blight 
17,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0388.pgm,Bacterial Leaf blight 
18,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0389.pgm,Bacterial Leaf blight 
19,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0390.pgm,Bacterial Leaf blight 
20,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0392.pgm,Bacterial Leaf blight 
21,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0393.pgm,Bacterial Leaf blight 
22,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0395.pgm,Bacterial Leaf blight 
23,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0397.pgm,Bacterial Leaf blight 
24,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0398.pgm,Bacterial Leaf blight 
25,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0399.pgm,Bacterial Leaf blight 
26,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0400.pgm,Bacterial Leaf blight 
27,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0401.pgm,Bacterial Leaf blight 
28,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0402.pgm,Bacterial Leaf blight 
29,C:\Users\Abhishek Swain\PycharmProjects\leaf-disease\Leaf disease\Bacterial Leaf blight masks\DSC_0403.pgm,Bacterial Leaf blight 
