iter	Accuracy	Logloss
0	0.8184713376	0.6867480983
1	0.8192675159	0.6807036054
2	0.8208598726	0.6735626512
3	0.8259023355	0.6674904237
4	0.8296178344	0.6616895623
5	0.8293524416	0.6558246047
6	0.8320063694	0.6498466173
7	0.83014862	0.6444237642
8	0.8285562633	0.6387309
9	0.8317409766	0.6332794841
10	0.8330679406	0.6279383136
11	0.8288216561	0.6229834963
12	0.8317409766	0.6182898897
13	0.8312101911	0.6131783421
14	0.832537155	0.6083060633
15	0.8322717622	0.6046203032
16	0.8320063694	0.6000980859
17	0.832537155	0.5954113978
18	0.8338641189	0.5909713956
19	0.8354564756	0.5868010292
20	0.8351910828	0.5821391264
21	0.8351910828	0.5777640043
22	0.8351910828	0.5741838499
23	0.8346602972	0.5705056681
24	0.8341295117	0.5675974064
25	0.8343949045	0.5636621718
26	0.8333333333	0.5599581076
27	0.8343949045	0.5562504764
28	0.83492569	0.552720522
29	0.8357218684	0.5492180948
30	0.8365180467	0.5457860582
31	0.8357218684	0.5425633951
32	0.8370488323	0.5392541811
33	0.8367834395	0.5359994571
34	0.8357218684	0.5328220174
35	0.8354564756	0.5297673034
36	0.8343949045	0.5266509165
37	0.8351910828	0.523644733
38	0.8346602972	0.5209086041
39	0.83492569	0.5184911983
40	0.8354564756	0.515564785
41	0.8357218684	0.5128709625
42	0.8373142251	0.5103641586
43	0.8365180467	0.508123929
44	0.8359872611	0.5057456732
45	0.8357218684	0.503354577
46	0.8357218684	0.5008141422
47	0.8359872611	0.498586526
48	0.8362526539	0.4959320779
49	0.8359872611	0.49376706
50	0.8357218684	0.4915570526
51	0.8362526539	0.4895780412
52	0.8365180467	0.4875902672
53	0.8367834395	0.4853591622
54	0.8365180467	0.4834044082
55	0.8365180467	0.4815141738
56	0.8362526539	0.4795125184
57	0.8367834395	0.47786005
58	0.8362526539	0.4759109512
59	0.8367834395	0.4739651618
60	0.8370488323	0.4723678798
61	0.8378450106	0.4704493974
62	0.8378450106	0.4685111136
63	0.8373142251	0.4668728108
64	0.8375796178	0.4650444212
65	0.8375796178	0.4635664478
66	0.8394373673	0.4619310859
67	0.8381104034	0.4604959315
68	0.838641189	0.4591846398
69	0.8383757962	0.4580063626
70	0.8383757962	0.4564833397
71	0.8383757962	0.4551037846
72	0.8389065817	0.4537780042
73	0.8383757962	0.452483627
74	0.8383757962	0.4511770685
75	0.841029724	0.4498302223
76	0.8404989384	0.4484080228
77	0.8412951168	0.4471919591
78	0.8412951168	0.4457182639
79	0.8407643312	0.4446398723
80	0.8412951168	0.4431471167
81	0.8412951168	0.4420168778
82	0.8412951168	0.4410023277
83	0.8415605096	0.4396561423
84	0.8423566879	0.4384895168
85	0.8426220807	0.4373468219
86	0.8426220807	0.4362540659
87	0.8426220807	0.4351843832
88	0.8423566879	0.4339735652
89	0.8426220807	0.4330718455
90	0.8423566879	0.4319956001
91	0.8426220807	0.4309451202
92	0.8431528662	0.4302383923
93	0.8436836518	0.4291283732
94	0.8439490446	0.4282916324
95	0.8442144374	0.4273672035
96	0.8431528662	0.4263140783
97	0.843418259	0.4252941579
98	0.8439490446	0.4242186103
99	0.8447452229	0.4233230035
100	0.8444798301	0.422491575
101	0.8455414013	0.4216543193
102	0.8452760085	0.4206715134
103	0.8455414013	0.4198900785
104	0.8439490446	0.4190998946
105	0.8442144374	0.4183564046
106	0.8442144374	0.4174842295
107	0.8439490446	0.4165251118
108	0.8439490446	0.415844564
109	0.8442144374	0.4151079806
110	0.8444798301	0.4146070594
111	0.8444798301	0.4138113954
112	0.8444798301	0.4129545151
113	0.8444798301	0.4124749712
114	0.8444798301	0.4117893927
115	0.8444798301	0.4112284278
116	0.8444798301	0.4105622523
117	0.8444798301	0.4101804907
118	0.8444798301	0.4096599041
119	0.8442144374	0.4091299654
120	0.8442144374	0.4083620184
121	0.8439490446	0.4077653818
122	0.8447452229	0.4070562374
123	0.8447452229	0.4065200691
124	0.8439490446	0.4058637268
125	0.8442144374	0.4051361596
126	0.8442144374	0.4043518683
127	0.8450106157	0.4038375367
128	0.8442144374	0.4032869253
129	0.8444798301	0.4027438625
130	0.8444798301	0.4022582945
131	0.8450106157	0.401700792
132	0.8452760085	0.4010087997
133	0.8447452229	0.4005248024
134	0.8450106157	0.4000641015
135	0.8450106157	0.3995022028
136	0.8447452229	0.3989888096
137	0.8444798301	0.3984377625
138	0.8450106157	0.3979692107
139	0.8450106157	0.3975074016
140	0.8450106157	0.3969973599
141	0.8460721868	0.3964961913
142	0.8458067941	0.3960146227
143	0.8460721868	0.3955839104
144	0.8460721868	0.3950646806
145	0.8460721868	0.3946224813
146	0.8460721868	0.394264238
147	0.8460721868	0.393859606
148	0.8466029724	0.3933730982
149	0.8463375796	0.3929362456
150	0.8460721868	0.3924648286
151	0.8460721868	0.3920105678
152	0.8460721868	0.3916298352
153	0.8460721868	0.3912045981
154	0.8460721868	0.3908347301
155	0.8466029724	0.3903043647
156	0.8466029724	0.3898077861
157	0.8463375796	0.389404705
158	0.8466029724	0.3890177451
159	0.8463375796	0.3887304606
160	0.8463375796	0.3883701585
161	0.8466029724	0.388001595
162	0.8466029724	0.3875435561
163	0.847133758	0.3871396932
164	0.847133758	0.3867639379
165	0.8466029724	0.3863128671
166	0.8468683652	0.3860068507
167	0.8466029724	0.3856336523
168	0.8466029724	0.3851984622
169	0.847133758	0.3849021871
170	0.847133758	0.3845729905
171	0.8473991507	0.3841905536
172	0.8473991507	0.3838274632
173	0.847133758	0.3834398806
174	0.8473991507	0.3830816083
175	0.8473991507	0.3828702289
176	0.8473991507	0.3825997645
177	0.8473991507	0.3822228811
178	0.8476645435	0.3819500586
179	0.8481953291	0.3815739573
180	0.8484607219	0.381321853
181	0.8484607219	0.3808947758
182	0.8481953291	0.3806070972
183	0.8481953291	0.3802749456
184	0.8484607219	0.3799764763
185	0.8484607219	0.3796830529
186	0.8484607219	0.3794200398
187	0.8487261146	0.3791941368
188	0.8487261146	0.3789372785
189	0.8487261146	0.3787153138
190	0.8487261146	0.3783724153
191	0.8487261146	0.3780783441
192	0.8487261146	0.3778154711
193	0.8484607219	0.3774442329
194	0.8484607219	0.3772003173
195	0.8487261146	0.3769294969
196	0.8487261146	0.3766547677
197	0.8484607219	0.376358881
198	0.8484607219	0.3759868262
199	0.8487261146	0.3757768109
200	0.8489915074	0.3755000654
201	0.8489915074	0.3752592034
202	0.8492569002	0.3750349423
203	0.8497876858	0.3746971862
204	0.8497876858	0.3744352491
205	0.8497876858	0.374280833
206	0.8497876858	0.3740048414
207	0.849522293	0.3737494841
208	0.849522293	0.3735356203
209	0.849522293	0.3732685857
210	0.8497876858	0.3730374603
211	0.8497876858	0.3727792392
212	0.8497876858	0.3725367779
213	0.8503184713	0.3722910789
214	0.8503184713	0.3719927661
215	0.8503184713	0.3718136348
216	0.8503184713	0.3715972204
217	0.8503184713	0.3713621996
218	0.8503184713	0.371123783
219	0.8505838641	0.370916543
220	0.8503184713	0.3707419475
221	0.8500530786	0.3705121434
222	0.8503184713	0.3703457922
223	0.8505838641	0.3701006478
224	0.8505838641	0.3697999178
225	0.8503184713	0.3696062718
226	0.8503184713	0.3694453307
227	0.8503184713	0.3692592796
228	0.8500530786	0.368992553
229	0.8500530786	0.368845065
230	0.8500530786	0.368564929
231	0.8500530786	0.3683321648
232	0.8503184713	0.3681801455
233	0.8500530786	0.3679506291
234	0.8503184713	0.3677281674
235	0.8503184713	0.3675244716
236	0.8503184713	0.3673037407
237	0.8503184713	0.3669913185
238	0.8505838641	0.3668044648
239	0.8503184713	0.3666318077
240	0.8503184713	0.3664050934
241	0.8503184713	0.3661423505
242	0.8505838641	0.3659766468
243	0.8508492569	0.3657279656
244	0.8505838641	0.3655113663
245	0.8508492569	0.3653388579
246	0.8508492569	0.3651428055
247	0.8511146497	0.3650254477
248	0.8511146497	0.3648537137
249	0.8511146497	0.3646768507
250	0.8513800425	0.3645190797
251	0.8513800425	0.3642770468
252	0.8513800425	0.3640728516
253	0.8513800425	0.3639069861
254	0.8521762208	0.363771768
255	0.8521762208	0.3636658696
256	0.8521762208	0.363521359
257	0.8521762208	0.36340375
258	0.8521762208	0.3632334996
259	0.8524416136	0.3630265568
260	0.8521762208	0.3628646175
261	0.8524416136	0.3627037531
262	0.8524416136	0.3625321719
263	0.8527070064	0.3623648709
264	0.8527070064	0.3621759166
265	0.8527070064	0.3620755739
266	0.8529723992	0.3618962244
267	0.8532377919	0.3617335752
268	0.8532377919	0.3615059098
269	0.8532377919	0.3613278054
270	0.8535031847	0.3611332747
271	0.8532377919	0.3610014539
272	0.8532377919	0.360784925
273	0.8532377919	0.3605767646
274	0.8532377919	0.360471304
275	0.8532377919	0.3602872734
276	0.8532377919	0.3600742446
277	0.8532377919	0.3598835722
278	0.8535031847	0.3597197315
279	0.8535031847	0.3596426989
280	0.8535031847	0.3594809422
281	0.8535031847	0.3593537047
282	0.8535031847	0.3592640348
283	0.8532377919	0.3591242382
284	0.8532377919	0.3589559105
285	0.8535031847	0.3588074165
286	0.8535031847	0.3586836859
287	0.8535031847	0.3585142306
288	0.8535031847	0.358417181
289	0.8535031847	0.3582867881
290	0.8535031847	0.3581710999
291	0.8535031847	0.3580836747
292	0.8540339703	0.3579359719
293	0.8537685775	0.3578091802
294	0.8540339703	0.3576542873
295	0.8537685775	0.3575378756
296	0.8540339703	0.357414122
297	0.8540339703	0.3571811905
298	0.8540339703	0.3570325428
299	0.8540339703	0.3569140837
300	0.8537685775	0.3568132436
301	0.8537685775	0.3566821793
302	0.8540339703	0.3565076798
303	0.8540339703	0.3562994119
304	0.8540339703	0.356170072
305	0.8542993631	0.3559618727
306	0.8542993631	0.3557678426
307	0.8540339703	0.3556549713
308	0.8545647558	0.3554873107
309	0.8545647558	0.3553628022
310	0.8545647558	0.3552408822
311	0.8545647558	0.3551126588
312	0.8548301486	0.3549563451
313	0.8545647558	0.3548472029
314	0.8545647558	0.3546831039
315	0.8545647558	0.3545469853
316	0.8545647558	0.3543890722
317	0.8545647558	0.3542288218
318	0.8545647558	0.3540377736
319	0.8545647558	0.3539194585
320	0.8545647558	0.3537221362
321	0.8545647558	0.3535749299
322	0.8550955414	0.3534863692
323	0.8548301486	0.3533358542
324	0.8550955414	0.3531533604
325	0.8548301486	0.3530563081
326	0.8548301486	0.3529377684
327	0.8548301486	0.3528290123
328	0.8550955414	0.3525810704
329	0.8550955414	0.3524549295
330	0.8550955414	0.3522907554
331	0.8553609342	0.3521785141
332	0.8553609342	0.3520409579
333	0.855626327	0.3519558141
334	0.855626327	0.3518000151
335	0.855626327	0.3516270801
336	0.855626327	0.3514525476
337	0.855626327	0.351309836
338	0.8558917197	0.3511414118
339	0.8558917197	0.3510261197
340	0.8558917197	0.3508833599
341	0.8558917197	0.3507508856
342	0.8561571125	0.3506057903
343	0.8561571125	0.3504946757
344	0.8564225053	0.3503934968
345	0.8558917197	0.350284806
346	0.8564225053	0.3501739368
347	0.8561571125	0.3500966709
348	0.8558917197	0.3499820892
349	0.8558917197	0.3498832103
350	0.8561571125	0.3498060811
351	0.8561571125	0.3496966991
352	0.8564225053	0.3495818587
353	0.8564225053	0.3494922627
354	0.8564225053	0.3493703968
355	0.8564225053	0.3492839802
356	0.8564225053	0.3491547974
357	0.8564225053	0.3490670418
358	0.8564225053	0.3489265086
359	0.8566878981	0.3488148665
360	0.8566878981	0.3487013036
361	0.8569532909	0.3486134679
362	0.8569532909	0.3485395934
363	0.8569532909	0.3484445617
364	0.8569532909	0.348320039
365	0.8569532909	0.3482288464
366	0.8569532909	0.3480946398
367	0.8574840764	0.3479153888
368	0.8574840764	0.3477660513
369	0.8574840764	0.3476492255
370	0.8574840764	0.3475562395
371	0.8574840764	0.3474642384
372	0.8574840764	0.3473366261
373	0.8572186837	0.3471928004
374	0.8572186837	0.3470915861
375	0.8574840764	0.3469259359
376	0.8574840764	0.3468348423
377	0.858014862	0.34675254
378	0.8577494692	0.3466471038
379	0.8577494692	0.3464830152
380	0.858014862	0.3464214525
381	0.858014862	0.3463161191
382	0.858014862	0.3462456758
383	0.858014862	0.3460783507
384	0.8577494692	0.3459859481
385	0.8577494692	0.345870221
386	0.8585456476	0.3457334327
387	0.8582802548	0.3456182527
388	0.858014862	0.345497663
389	0.8582802548	0.3453492506
390	0.8582802548	0.3452352589
391	0.8582802548	0.3451582276
392	0.8585456476	0.345028866
393	0.8585456476	0.3448794386
394	0.8582802548	0.3447787761
395	0.8582802548	0.3446612156
396	0.8582802548	0.3445461498
397	0.8582802548	0.3444642485
398	0.8585456476	0.3443936369
399	0.8585456476	0.3443051547
400	0.8590764331	0.3441518782
401	0.8590764331	0.3441020399
402	0.8590764331	0.343940845
403	0.8590764331	0.3438359176
404	0.8590764331	0.3437040843
405	0.8593418259	0.3435927136
406	0.8593418259	0.3434482871
407	0.8593418259	0.3433895022
408	0.8596072187	0.3433004597
409	0.8596072187	0.3431963646
410	0.8596072187	0.343094638
411	0.8598726115	0.3429375405
412	0.8598726115	0.3428217265
413	0.8598726115	0.3427407535
414	0.8598726115	0.3426690095
415	0.8598726115	0.3425700149
416	0.8598726115	0.3424967421
417	0.8598726115	0.342374401
418	0.8598726115	0.3422904357
419	0.8598726115	0.3422007944
420	0.8598726115	0.3421277869
421	0.8598726115	0.3420672745
422	0.860403397	0.3419552791
423	0.860403397	0.341866551
424	0.860403397	0.341743548
425	0.860403397	0.3416268672
426	0.860403397	0.3415199029
427	0.860403397	0.3414427893
428	0.860403397	0.3413385947
429	0.860403397	0.3412865354
430	0.8606687898	0.341209256
431	0.860403397	0.3411287548
432	0.860403397	0.3410406971
433	0.860403397	0.3409259478
434	0.860403397	0.3408437712
435	0.860403397	0.3407957207
436	0.860403397	0.3406789746
437	0.8606687898	0.3406125173
438	0.8606687898	0.3405277333
439	0.860403397	0.3404886779
440	0.8606687898	0.3404039164
441	0.8606687898	0.340272862
442	0.860403397	0.3402054132
443	0.860403397	0.3400954733
444	0.8601380042	0.33999297
445	0.860403397	0.3398790326
446	0.860403397	0.3397848617
447	0.860403397	0.3397196769
448	0.860403397	0.3396625902
449	0.860403397	0.3395795497
450	0.860403397	0.3394449474
451	0.8609341826	0.3393093632
452	0.8611995754	0.3392456232
453	0.8611995754	0.339194747
454	0.8611995754	0.3391312391
455	0.8611995754	0.3390265847
456	0.8611995754	0.3389789901
457	0.8611995754	0.3388586946
458	0.8611995754	0.3387518413
459	0.8614649682	0.3386674369
460	0.8614649682	0.3385582317
461	0.8614649682	0.3384941301
462	0.8614649682	0.3383769213
463	0.8614649682	0.3382324863
464	0.8614649682	0.3381497332
465	0.8611995754	0.3380614083
466	0.8611995754	0.3379578689
467	0.8619957537	0.337842081
468	0.8617303609	0.337794859
469	0.8617303609	0.3376989515
470	0.8617303609	0.3376090353
471	0.8617303609	0.3375570872
472	0.8617303609	0.3374993566
473	0.8617303609	0.3374442858
474	0.8617303609	0.3373421759
475	0.8617303609	0.3372813134
476	0.8617303609	0.3371857242
477	0.8617303609	0.3370476267
478	0.8617303609	0.3369401385
479	0.8619957537	0.336842772
480	0.8619957537	0.3367316297
481	0.8622611465	0.3366600716
482	0.8619957537	0.3365815837
483	0.8619957537	0.3364943004
484	0.8619957537	0.3363875953
485	0.8619957537	0.3362833475
486	0.8619957537	0.3361526023
487	0.8622611465	0.3360912789
488	0.8625265393	0.3360042408
489	0.8625265393	0.3358391037
490	0.8622611465	0.3357160464
491	0.8622611465	0.3356390286
492	0.8625265393	0.3355486582
493	0.8627919321	0.3354578361
494	0.8627919321	0.3353711959
495	0.8625265393	0.3352707417
496	0.8627919321	0.3351539444
497	0.8627919321	0.335028161
498	0.8630573248	0.3349617457
499	0.8633227176	0.3348792057
500	0.8633227176	0.3347763754
501	0.8633227176	0.3346515602
502	0.8633227176	0.3345463926
503	0.8638535032	0.3344276103
504	0.8638535032	0.3343250226
505	0.864118896	0.3342483265
506	0.864118896	0.3341564365
507	0.864118896	0.3341020273
508	0.864118896	0.334022073
509	0.8643842887	0.3339234578
510	0.8643842887	0.3338443956
511	0.8646496815	0.3337610072
512	0.8649150743	0.3336605257
513	0.8651804671	0.333539483
514	0.8649150743	0.3334330333
515	0.8649150743	0.3333077797
516	0.8649150743	0.3332361709
517	0.8651804671	0.3331464101
518	0.8654458599	0.333088971
519	0.8651804671	0.3330077456
520	0.8651804671	0.3329468931
521	0.8651804671	0.332855168
522	0.8651804671	0.3327992724
523	0.8657112527	0.3327315278
524	0.8657112527	0.3326918873
525	0.8654458599	0.3326000901
526	0.8659766454	0.332521555
527	0.8659766454	0.3324735278
528	0.8659766454	0.3324037284
529	0.8659766454	0.3322738141
530	0.8659766454	0.3321443244
531	0.8659766454	0.3320311324
532	0.8659766454	0.3319467622
533	0.8659766454	0.3318633595
534	0.8659766454	0.3317782995
535	0.866507431	0.3317016
536	0.866507431	0.3315907307
537	0.866507431	0.3314696946
538	0.8662420382	0.3313167735
539	0.8659766454	0.331245322
540	0.8659766454	0.3311757229
541	0.866507431	0.331077612
542	0.8667728238	0.3309755922
543	0.8667728238	0.3308879791
544	0.866507431	0.3308119078
545	0.866507431	0.3307384052
546	0.866507431	0.3305795004
547	0.866507431	0.3305074316
548	0.866507431	0.3304116325
549	0.8662420382	0.330299272
550	0.8667728238	0.3302234904
551	0.8673036093	0.3300586512
552	0.8673036093	0.3299927846
553	0.8673036093	0.3298720408
554	0.8670382166	0.3297863776
555	0.8673036093	0.3296847956
556	0.8673036093	0.3296487904
557	0.8678343949	0.329569836
558	0.8678343949	0.3294852218
559	0.8678343949	0.3294267211
560	0.8675690021	0.3292992588
561	0.8675690021	0.3291723726
562	0.8675690021	0.3291136186
563	0.8675690021	0.3290165246
564	0.8675690021	0.3289131062
565	0.8678343949	0.3288356503
566	0.8675690021	0.3287379972
567	0.8675690021	0.328658246
568	0.8675690021	0.3286021648
569	0.8675690021	0.3285388753
570	0.8678343949	0.3284563735
571	0.8673036093	0.328397017
572	0.8673036093	0.3282937318
573	0.8673036093	0.3282303782
574	0.8673036093	0.3281458992
575	0.8673036093	0.3280553472
576	0.8675690021	0.3280144994
577	0.8678343949	0.3279412591
578	0.8675690021	0.327828595
579	0.8675690021	0.3277340035
580	0.8675690021	0.3276657187
581	0.8678343949	0.3276096724
582	0.8678343949	0.3274731418
583	0.8678343949	0.3274037955
584	0.8678343949	0.3273486495
585	0.8680997877	0.3272969018
586	0.8678343949	0.3272433683
587	0.8678343949	0.3271821163
588	0.8678343949	0.3271111425
589	0.8680997877	0.3270293545
590	0.8680997877	0.3269341331
591	0.8680997877	0.3268841487
592	0.8680997877	0.3267855294
593	0.8680997877	0.3267089679
594	0.8678343949	0.3266291186
595	0.8678343949	0.3265362349
596	0.8678343949	0.3264746177
597	0.8680997877	0.3263975748
598	0.8680997877	0.3262891336
599	0.8680997877	0.3261659381
600	0.8680997877	0.3260490329
601	0.8680997877	0.3259596324
602	0.8680997877	0.3258699054
603	0.8678343949	0.3257537239
604	0.8678343949	0.3256904058
605	0.8678343949	0.3255557208
606	0.8678343949	0.3254685477
607	0.8680997877	0.3253955744
608	0.8683651805	0.3252933217
609	0.8680997877	0.3251601303
610	0.8683651805	0.3250830282
611	0.8683651805	0.3249895671
612	0.8686305732	0.3248977525
613	0.8686305732	0.3248604167
614	0.8686305732	0.3248078506
615	0.8686305732	0.324776845
616	0.8686305732	0.3246619017
617	0.8686305732	0.3245586371
618	0.868895966	0.3244523396
619	0.868895966	0.3243368767
620	0.868895966	0.3242847277
621	0.868895966	0.3241881862
622	0.868895966	0.3241005865
623	0.868895966	0.3239515854
624	0.8683651805	0.323887781
625	0.8683651805	0.3237240676
626	0.8686305732	0.3236492683
627	0.8683651805	0.3235049621
628	0.8686305732	0.3233964922
629	0.8686305732	0.3233380893
630	0.868895966	0.3232506261
631	0.8691613588	0.3231373312
632	0.8691613588	0.3230526643
633	0.8694267516	0.3229839268
634	0.8694267516	0.322940016
635	0.8694267516	0.322854175
636	0.8691613588	0.3227974182
637	0.8691613588	0.3227685192
638	0.8691613588	0.3227097592
639	0.8696921444	0.3226519872
640	0.8696921444	0.3226051533
641	0.8696921444	0.322499764
642	0.8696921444	0.3223674293
643	0.8696921444	0.3222870092
644	0.8696921444	0.3221884483
645	0.8696921444	0.3221252923
646	0.8696921444	0.3220401537
647	0.8696921444	0.3219554359
648	0.8699575372	0.321869625
649	0.8699575372	0.3218053476
650	0.8699575372	0.3217522399
651	0.8699575372	0.3216523664
652	0.8699575372	0.3215869239
653	0.8699575372	0.3215028591
654	0.8702229299	0.3213417898
655	0.8702229299	0.3212963763
656	0.8704883227	0.3211505818
657	0.8704883227	0.3210475536
658	0.8704883227	0.3209495776
659	0.8704883227	0.3208419395
660	0.8704883227	0.3207283491
661	0.8704883227	0.3206761452
662	0.8704883227	0.3206045683
663	0.8704883227	0.3204929143
664	0.8704883227	0.3204014113
665	0.8704883227	0.3203577237
666	0.8704883227	0.3202567838
667	0.8704883227	0.3201446093
668	0.8704883227	0.3200705906
669	0.8704883227	0.3199817313
670	0.8704883227	0.3199173262
671	0.8704883227	0.3197730005
672	0.8704883227	0.3196396427
673	0.8704883227	0.3195615049
674	0.8704883227	0.3194927224
675	0.8704883227	0.3194050193
676	0.8704883227	0.3193585665
677	0.8704883227	0.3192878545
678	0.8704883227	0.3192048166
679	0.8712845011	0.3190862515
680	0.8704883227	0.3189380246
681	0.8707537155	0.3188555427
682	0.8707537155	0.3187844177
683	0.8707537155	0.318723886
684	0.8707537155	0.3186360874
685	0.8707537155	0.318573246
686	0.8707537155	0.3185163534
687	0.8707537155	0.3184670676
688	0.8704883227	0.3183592475
689	0.8704883227	0.3182653394
690	0.8704883227	0.3182014889
691	0.8704883227	0.3181305633
692	0.8707537155	0.317992603
693	0.8710191083	0.3178846306
694	0.8710191083	0.3178303326
695	0.8707537155	0.3177656083
696	0.8707537155	0.3176449548
697	0.8707537155	0.3175847007
698	0.8707537155	0.31744938
699	0.8707537155	0.3173903849
700	0.8707537155	0.3172966594
701	0.8707537155	0.3171964155
702	0.8707537155	0.3171290952
703	0.8707537155	0.3170589158
704	0.8710191083	0.3169931954
705	0.8710191083	0.3169259703
706	0.8710191083	0.3168416362
707	0.8710191083	0.316767696
708	0.8710191083	0.3166938485
709	0.8707537155	0.3165274971
710	0.8707537155	0.3164382861
711	0.8710191083	0.3163786028
712	0.8710191083	0.3162407321
713	0.8710191083	0.31617339
714	0.8710191083	0.3160942541
715	0.8710191083	0.3160109012
716	0.8710191083	0.3159718082
717	0.8710191083	0.3158660557
718	0.8707537155	0.3157979815
719	0.8707537155	0.3156903356
720	0.8710191083	0.3156030486
721	0.8710191083	0.3155041588
