iter	Passed	Remaining
0	57	57860
1	60	30154
2	63	21015
3	66	16434
4	68	13662
5	71	11869
6	74	10568
7	77	9575
8	83	9188
9	86	8608
10	89	8061
11	92	7598
12	96	7349
13	99	7027
14	102	6744
15	105	6480
16	109	6354
17	113	6182
18	115	5984
19	118	5807
20	121	5658
21	123	5510
22	126	5365
23	129	5255
24	133	5208
25	136	5110
26	139	5011
27	143	4970
28	147	4929
29	149	4844
30	152	4773
31	155	4718
32	159	4660
33	161	4587
34	164	4541
35	167	4488
36	170	4434
37	172	4377
38	177	4378
39	180	4342
40	183	4296
41	186	4247
42	189	4210
43	192	4178
44	195	4146
45	198	4107
46	202	4103
47	205	4074
48	208	4040
49	211	4012
50	216	4020
51	218	3989
52	221	3961
53	225	3949
54	228	3931
55	231	3901
56	233	3869
57	237	3850
58	240	3840
59	243	3815
60	245	3786
61	250	3789
62	254	3781
63	256	3757
64	260	3743
65	263	3726
66	265	3703
67	268	3681
68	272	3673
69	275	3659
70	278	3642
71	281	3623
72	284	3618
73	287	3602
74	290	3581
75	293	3569
76	296	3556
77	300	3548
78	302	3531
79	305	3516
80	309	3509
81	312	3498
82	316	3495
83	319	3479
84	321	3465
85	324	3449
86	329	3455
87	333	3452
88	335	3435
89	338	3423
90	342	3421
91	345	3413
92	348	3398
93	351	3391
94	355	3389
95	358	3378
96	362	3370
97	364	3356
98	368	3354
99	372	3353
100	375	3338
101	378	3329
102	381	3319
103	384	3308
104	387	3300
105	390	3295
106	393	3282
107	396	3270
108	400	3272
109	403	3264
110	405	3250
111	408	3238
112	411	3230
113	414	3220
114	416	3206
115	419	3193
116	422	3185
117	426	3190
118	429	3182
119	432	3174
120	436	3171
121	439	3162
122	442	3153
123	446	3156
124	450	3152
125	453	3144
126	456	3137
127	459	3130
128	463	3126
129	466	3122
130	469	3114
131	472	3104
132	476	3103
133	479	3096
134	481	3086
135	485	3084
136	488	3079
137	491	3070
138	494	3061
139	499	3066
140	504	3070
141	506	3063
142	510	3057
143	513	3049
144	515	3040
145	519	3041
146	522	3033
147	526	3028
148	532	3043
149	537	3043
150	539	3035
151	542	3025
152	547	3031
153	551	3029
154	554	3021
155	557	3015
156	560	3007
157	562	2999
158	565	2990
159	568	2985
160	571	2980
161	574	2971
162	577	2964
163	581	2964
164	585	2962
165	588	2954
166	592	2957
167	595	2949
168	598	2942
169	601	2934
170	608	2948
171	611	2943
172	614	2937
173	619	2941
174	622	2936
175	627	2937
176	630	2931
177	633	2924
178	636	2918
179	639	2912
180	641	2903
181	644	2898
182	648	2896
183	651	2890
184	654	2884
185	657	2876
186	662	2880
187	666	2877
188	669	2872
