,paths,label
0,Leaf_disease\Bacterial Leaf blight masks\DSC_0366.pgm,Bacterial Leaf blight 
1,Leaf_disease\Bacterial Leaf blight masks\DSC_0367.pgm,Bacterial Leaf blight 
2,Leaf_disease\Bacterial Leaf blight masks\DSC_0370.pgm,Bacterial Leaf blight 
3,Leaf_disease\Bacterial Leaf blight masks\DSC_0372.pgm,Bacterial Leaf blight 
4,Leaf_disease\Bacterial Leaf blight masks\DSC_0373.pgm,Bacterial Leaf blight 
5,Leaf_disease\Bacterial Leaf blight masks\DSC_0374.pgm,Bacterial Leaf blight 
6,Leaf_disease\Bacterial Leaf blight masks\DSC_0375.pgm,Bacterial Leaf blight 
7,Leaf_disease\Bacterial Leaf blight masks\DSC_0376.pgm,Bacterial Leaf blight 
8,Leaf_disease\Bacterial Leaf blight masks\DSC_0377.pgm,Bacterial Leaf blight 
9,Leaf_disease\Bacterial Leaf blight masks\DSC_0378.pgm,Bacterial Leaf blight 
10,Leaf_disease\Bacterial Leaf blight masks\DSC_0379.pgm,Bacterial Leaf blight 
11,Leaf_disease\Bacterial Leaf blight masks\DSC_0381.pgm,Bacterial Leaf blight 
12,Leaf_disease\Bacterial Leaf blight masks\DSC_0382.pgm,Bacterial Leaf blight 
13,Leaf_disease\Bacterial Leaf blight masks\DSC_0383.pgm,Bacterial Leaf blight 
14,Leaf_disease\Bacterial Leaf blight masks\DSC_0384.pgm,Bacterial Leaf blight 
15,Leaf_disease\Bacterial Leaf blight masks\DSC_0385.pgm,Bacterial Leaf blight 
16,Leaf_disease\Bacterial Leaf blight masks\DSC_0386.pgm,Bacterial Leaf blight 
17,Leaf_disease\Bacterial Leaf blight masks\DSC_0388.pgm,Bacterial Leaf blight 
18,Leaf_disease\Bacterial Leaf blight masks\DSC_0389.pgm,Bacterial Leaf blight 
19,Leaf_disease\Bacterial Leaf blight masks\DSC_0390.pgm,Bacterial Leaf blight 
20,Leaf_disease\Bacterial Leaf blight masks\DSC_0392.pgm,Bacterial Leaf blight 
