,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa
0,K Neighbors Classifier,0.8822,0.9309,0.8019,0.9516,0.8702,0.7639
1,Extra Trees Classifier,0.8709,0.9337,0.8277,0.9022,0.8632,0.7414
2,Random Forest Classifier,0.8663,0.9199,0.814,0.9055,0.8571,0.7322
3,CatBoost Classifier,0.8632,0.9257,0.8174,0.896,0.8547,0.726
4,Light Gradient Boosting Machine,0.8604,0.9222,0.8168,0.8908,0.8521,0.7204
5,Gradient Boosting Classifier,0.8536,0.9144,0.7984,0.8933,0.843,0.7066
6,Extreme Gradient Boosting,0.8485,0.9132,0.7863,0.8935,0.8363,0.6963
7,Decision Tree Classifier,0.8334,0.8333,0.8226,0.8367,0.8295,0.6667
8,Ada Boost Classifier,0.8215,0.8963,0.7621,0.8596,0.8079,0.6424
9,Linear Discriminant Analysis,0.8138,0.801,0.7034,0.8967,0.7881,0.6264
10,Quadratic Discriminant Analysis,0.7426,0.8448,0.5357,0.9028,0.6713,0.482
11,Ridge Classifier,0.7392,0,0.5,0.9449,0.6531,0.4747
12,Logistic Regression,0.7236,0.8329,0.485,0.9137,0.6322,0.4433
13,Naive Bayes,0.7109,0.8329,0.5017,0.8492,0.6296,0.418
14,SVM - Linear Kernel,0.7034,0,0.519,0.9006,0.6265,0.404
